iter	Passed	Remaining
1599	18252	4563
1600	18263	4551
1601	18276	4540
1602	18287	4529
1603	18300	4518
1604	18313	4507
1605	18324	4495
1606	18334	4483
1607	18346	4472
1608	18359	4461
1609	18370	4450
1610	18382	4438
1611	18392	4427
1612	18406	4416
1613	18420	4405
1614	18433	4394
1615	18447	4383
1616	18459	4372
1617	18473	4361
1618	18486	4350
1619	18497	4338
1620	18509	4327
1621	18523	4316
1622	18535	4305
1623	18545	4293
1624	18557	4282
1625	18597	4277
1626	18625	4269
1627	18653	4262
1628	18669	4252
1629	18695	4243
1630	18711	4233
1631	18721	4221
1632	18736	4210
1633	18748	4199
1634	18763	4188
1635	18777	4177
1636	18787	4166
1637	18799	4154
1638	18810	4143
1639	18824	4132
1640	18839	4121
1641	18851	4110
1642	18863	4098
1643	18875	4087
1644	18888	4076
1645	18900	4064
1646	18912	4053
1647	18925	4042
1648	18937	4030
1649	18949	4019
1650	18961	4008
1651	18975	3997
1652	18984	3985
1653	18996	3973
1654	19008	3962
1655	19021	3951
1656	19032	3939
1657	19042	3927
1658	19054	3916
1659	19068	3905
1660	19081	3894
1661	19093	3882
1662	19107	3871
1663	19118	3860
1664	19130	3848
